Category,Name,OldPrice,NewPrice,Measure
Замороженные продукты,Мороженое Вологодский Пломбир Шоколадный в вафельном стаканчике 12% 100г,75.9,39.90,шт
Бакалея,Пюре Капитан Припасов Мамина неженка Яблочно-абрикосовое с сахаром 260г,85.9,49.90,шт
Бакалея,Соус Market Collection Пряный с базиликом 370г,119.9,89.90,шт
Зоотовары,Корм для кошек Whiskas Мясной паштет из курицы с индейкой 85г ,19.9,not/app,шт
Бытовая химия и хозтовары,Гель для стирки Losk Ароматерапия Индийский жасмин и Розовое дерево 1.46л,319.0,219.90,шт
Товары для красоты и здоровья,Бумажные полотенца Soffione Menu 2 рулона 2 слоя,99.9,59.90,шт
Товары для красоты и здоровья,Гель для душа Le Petit Marseillais Ваниль 650мл,319.0,219.90,шт
Товары для красоты и здоровья,Прокладки Kotex Ultra Night с крылышками 7шт,119.9,69.90,шт
Товары для красоты и здоровья,Бальзам-ополаскиватель Garnier Fructis SOS Восстановление 387мл,249.0,179.90,шт
Товары для красоты и здоровья,Мыло Johnsons Body Care Vita-Rich Смягчающее с экстрактом папайи 125г,65.9,32.95,шт
Товары для мам и детей,Пюре ФрутоНяня из Яблок и черники с печеньем 90г,51.9,34.90,шт
"Мясо, птица, рыба",Сосиски Останкино Сливочные Премиум 350г,189.9,119.90,шт
Для кошек,Корм для котят Cat Chow с индейкой и кабачками в желе 85г,28.4,not/app,шт
Для кошек,Корм для кошек Grandorf Филе тунца с мясом лосося 70г,130.0,not/app,шт
Для кошек,Корм для кошек Grandorf Филе тунца 70г,130.0,not/app,шт
Для собак,Корм для собак Brit Сердце Печень 850г,219.0,154.90,шт
Для птиц,Клетка для птиц Ferplast Giulietta 5 Nera 69*34.5*58см,8448.0,not/app,шт
Royal Canin,Корм для собак Royal Canin Ageing 12+ Mini для мелких пород 85г,73.9,59.90,шт
Товары Бетховен,Корм для рыб Sera Wels Chips для сомов чипсы 100мл,403.9,not/app,шт
Pro Plan,Корм для кошек Pro Plan Nutri Savour Sterilised с уткой в соусе 85г,63.9,50.90,шт
Pro Plan,Сухой корм для собак Pro Plan Optidigest Small&Mini Adult Sensitive с ягненком и рисом 700г,389.9,not/app,шт
Hills,Сухой корм для собак Hills Science Plan для здоровья кожи и шерсти с ягненком 6кг,3472.0,2429.90,шт
Hills,Корм для кошек Hills Prescription Diet при проблемах с почками с курицей 156г,119.9,not/app,шт
Овощи с доставкой,Морковь мытая,99.9,not/app,кг
Овощи с доставкой,Морковь отечественная,52.9,not/app,кг
Овощи с доставкой,Огурцы 450г упаковка,119.9,not/app,шт
Зелень и салаты с доставкой,Набор зелени Чайный Лимонная трава мята тимьян 100г упаковка,249.9,not/app,шт
"Отборные овощи, фрукты и ягоды",Карамбола Artfuit 1шт,219.9,not/app,шт
"Отборные овощи, фрукты и ягоды",Голубика Шейкер 250г упаковка,449.9,not/app,шт
"Сезонные ягоды, фрукты и овощи",Авокадо спелое 2шт упаковка,249.9,not/app,шт
Наше производство,Лосось стейк в маринаде 1кг,1499.0,1299.00,кг
Охлажденная рыба ,Сибас охлажденный 0.4-0.6кг,759.9,659.90,кг
Охлажденная рыба ,Корюшка охлажденная,699.9,499.90,кг
Охлажденная рыба ,Сибас потрошеный охлажденный 0.4-0.6кг,849.9,749.90,кг
Охлажденная рыба ,Семга Фареры филе на коже охлажденная Премиум,1699.0,not/app,кг
Охлажденная рыба ,Филе семги Фареры охлажденное Премиум,1799.0,not/app,кг
Охлажденная рыба ,Семга Фареры кусок охлажденный Премиум,1459.0,not/app,кг
Охлажденная рыба ,Семга Фареры стейк охлажденный Премиум,1499.0,not/app,кг
Охлажденная рыба ,Стерлядь охлажденная неразделанная 1.4-1.6кг,899.9,not/app,кг
Охлажденная рыба ,Филе форели на коже охлажденная,1049.0,not/app,кг
Охлажденная рыба ,Минтай охлажденный филе без кожи 0.1-0.2кг,418.9,not/app,кг
Рыбные полуфабрикаты,Треугольники тресковые Polar в панировке 600г,149.9,not/app,шт
Икра,Икра форели Асто 90г,399.9,299.90,шт
Икра,Икра лососевая Корсаков 1853 90г,649.9,459.90,шт
Сельдь,Сельдь Матиас ХХL Отборная филе кусочки 260г,185.0,not/app,шт
Копченая и соленая рыба,Форель Фишерман холодного копчения ломтики 120г,209.0,not/app,шт
Копченая и соленая рыба,Рыба Масляная холодного копчения филе,1179.0,not/app,кг
"Вяленая, сушеная рыба и морепродукты",Набор пивной Тарань-ка солено-сушеная 150г,57.9,not/app,шт
Птица,Филе грудки индейки Индилайт 500г,298.9,not/app,шт
Птица,Грудка куриная Петелинка с кожей 0.5-1.5кг,245.9,not/app,кг
Стейки,Стейк говяжий Праймбиф Нью-Йорк 400г,1401.0,not/app,шт
Стейки,Стейк говяжий Заречное Рибай 300г,505.9,not/app,шт
Деликатесы и колбасные изделия,Колбаса Мясницкий ряд Верона сыровяленая полусухая нарезка 90г,161.9,112.90,шт
Деликатесы и колбасные изделия,Сосиски Клинский Клинские 460г,297.9,not/app,шт
Деликатесы и колбасные изделия,Сосиски Папа может Сочные 600г,245.9,not/app,шт
Деликатесы и колбасные изделия,Сосиски Дымов Молочные 464г,297.9,not/app,шт
Деликатесы и колбасные изделия,Колбаса Ближние горки Кремлевская варено-копченая 0.9-1кг,121.4,not/app,100г
Деликатесы и колбасные изделия,Колбаса Папа может Сервелат Финский варено-копченый 420г,266.9,not/app,шт
Деликатесы и колбасные изделия,Ветчина Клинский из свинины вареная Для тостов 120г,129.0,not/app,шт
Деликатесы и колбасные изделия,Сардельки Ближние горки Свиные 0.9-1кг,67.89,not/app,100г
Деликатесы и колбасные изделия,Сосиски Клинский Сливочные 470г,299.0,not/app,шт
Деликатесы и колбасные изделия,Сосиски Ядрена копоть Классические 420г,190.9,not/app,шт
Деликатесы и колбасные изделия,Ветчина Рублевский из свинины Для завтрака 400г,348.9,not/app,шт
Деликатесы и колбасные изделия,Колбаса Егорьевская Палермо сырокопченая 100г,173.9,not/app,шт
Деликатесы и колбасные изделия,Колбаса Casademont Фуэт Экстра сыровяленая 150г,308.9,not/app,шт
Деликатесы и колбасные изделия,Паштет Егорьевская Мясной из печени 150г,102.9,not/app,шт
Деликатесы и колбасные изделия,Колбаса Дымов Салями Финская полукопченая 330г,266.9,not/app,шт
